name,name_original,amenity,shop,tourism,@lat,@lon,final_category
UR Suzuki,UR Suzuki,,motorcycle,,24.9096532,67.1070626,Transport & Vehicles
Madni Sheermal,Madni Sheermal,food_court,,,24.9090381,67.1078737,Food & Dining
Muhammadi Bakers,Muhammadi Bakers,,bakery,,24.908556,67.107143,Food & Dining
Madina General Store,Madina General Store,,convenience,,24.9088346,67.1075642,Shopping & Retail
Mahtab Clinic,Mahtab Clinic,clinic,,,24.9088235,67.1077437,Healthcare
Madina Medical Store,Madina Medical Store,clinic,,,24.9085272,67.1072771,Healthcare
Daewoo Cargo Service,Daewoo Cargo Service,bus_station,,,24.9087926,67.1081814,Transport & Vehicles
Naveed Hijama Clinic,Naveed Hijama Clinic,clinic,,,24.9084147,67.1081502,Healthcare
Meezan Bank,Meezan Bank,bank,,,24.908485,67.1085993,Services
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.9084167,67.1086923,Services
Faisal Bank (Islamic Branch),Faisal Bank (Islamic Branch),bank,,,24.9082705,67.108878,Services
Khushali Bank Limited,Khushali Bank Limited,bank,,,24.9081218,67.1090595,Services
MCB Rashid Minhas Branch,MCB Rashid Minhas Branch,bank,,,24.9078499,67.1094215,Services
California Pizza,California Pizza,fast_food,,,24.907713,67.1096005,Food & Dining
Subway,سب وے,fast_food,,,24.9075809,67.1097422,Food & Dining
Bank Alfalah,بینک الفلاح,bank,,,24.9074777,67.1098965,Services
Farzand CNG Station,Farzand CNG Station,fuel,,,24.9069434,67.1105817,Transport & Vehicles
BAKRI Petrol Pump,BAKRI Petrol Pump,fuel,,,24.9068298,67.1106983,Transport & Vehicles
Purple Apple Marriage Lawn,Purple Apple Marriage Lawn,townhall,,,24.9066612,67.1109393,Religious & Community
Glamour Mobile Market,Glamour Mobile Market,,mobile_phone,,24.9065622,67.1111177,Shopping & Retail
Silkbank,Silkbank,bank,,,24.9044971,67.113066,Services
Dawlance,Dawlance,,electronics,,24.9043741,67.1131859,Shopping & Retail
TCS,TCS,post_office,,,24.9042627,67.1132672,Services
Hobnob Bakery,Hobnob Bakery,,bakery,,24.9041448,67.1133787,Food & Dining
United Mobile Market,United Mobile Market,,mobile_phone,,24.9035577,67.1139263,Shopping & Retail
Manzoor Colony Furniture Market,Manzoor Colony Furniture Market,,furniture,,24.8541244,67.089757,Shopping & Retail
Curtain Corner,Curtain Corner,,yes,,24.8544515,67.0897315,Other / Unspecified
M.Riaz Interior 1,M.Riaz Interior 1,,yes,,24.8541777,67.0890281,Other / Unspecified
JB INTERIORS,JB INTERIORS,,yes,,24.8542845,67.0888672,Other / Unspecified
Al Mukhtar Masjid,Al Mukhtar Masjid,place_of_worship,,,24.8541935,67.0887736,Religious & Community
Pacific Interior,Pacific Interior,,yes,,24.8542918,67.0886851,Other / Unspecified
Mod Furniture,Mod Furniture,,yes,,24.8543001,67.0884973,Other / Unspecified
Samar Interiors,Samar Interiors,,yes,,24.854245,67.0877711,Other / Unspecified
Shah Jee Hardware & Sofa Cushion Material,Shah Jee Hardware & Sofa Cushion Material,,yes,,24.8543147,67.0879315,Other / Unspecified
Tauheed Furniture,Tauheed Furniture,,yes,,24.8542464,67.0876772,Other / Unspecified
Touch Wood Furniture,Touch Wood Furniture,,yes,,24.8542641,67.0873594,Other / Unspecified
Shanis Interior,Shanis Interior,,yes,,24.8543356,67.0876065,Other / Unspecified
Shayan e shaan,Shayan e shaan,,yes,,24.8543587,67.0874373,Other / Unspecified
Masjid Ibrahim,Masjid Ibrahim,place_of_worship,,,24.8534991,67.0872867,Religious & Community
"Waqar,s EMB","Waqar,s EMB",,yes,,24.8540899,67.086479,Other / Unspecified
Bismillah Milk Corner,Bismillah Milk Corner,,yes,,24.854427,67.0864146,Other / Unspecified
Waheed Hardware Store,Waheed Hardware Store,,yes,,24.8544007,67.0859595,Other / Unspecified
Hussain Timber,Hussain Timber,,yes,,24.8544008,67.0858811,Other / Unspecified
Faysal Bank,فیصل بینک,bank,,,24.7962578,67.0450447,Services
Darul Ehsan,Darul Ehsan,place_of_worship,,,24.8540761,67.0854409,Religious & Community
Al-Habib Bank Ltd,Al-Habib Bank Ltd,bank,,,24.8544092,67.0853539,Services
Anas Pakwaan,Anas Pakwaan,restaurant,,,24.8548376,67.0849199,Food & Dining
Bilal Mehfooz Sheermaal,Bilal Mehfooz Sheermaal,restaurant,,,24.8549819,67.0848441,Food & Dining
BISMILLAH IDEAL General Store & Wholesaler,BISMILLAH IDEAL General Store & Wholesaler,,yes,,24.8553326,67.084509,Other / Unspecified
Hira Masjid,Hira Masjid,place_of_worship,,,24.8558898,67.085533,Religious & Community
New Quetta Marhaba Hotel,New Quetta Marhaba Hotel,restaurant,,,24.8556334,67.0856853,Food & Dining
Quetta Marhaba Hotel,Quetta Marhaba Hotel,,,hotel,24.855256,67.0867201,Accommodation
Furniture Factory Karachi,Furniture Factory Karachi,,yes,,24.8555626,67.0875032,Other / Unspecified
Al-Irfan,Al-Irfan,place_of_worship,,,24.8556755,67.0879336,Religious & Community
Sajjad General Store,Sajjad General Store,,yes,,24.8557808,67.0877331,Other / Unspecified
Toyota Eastern Motors,Toyota Eastern Motors,,car,,24.9077483,67.1103718,Transport & Vehicles
Chatterbox,Chatterbox,cafe,,,24.7909061,67.0650309,Food & Dining
Dubai Islamic Bank,دبئی اسلامی بینک,bank,,,24.7908201,67.0649424,Services
Zouk,Zouk,restaurant,,,24.7905326,67.0652906,Food & Dining
Dandee,Dandee,fast_food,,,24.7970864,67.0442139,Food & Dining
Dubai Islamic Bank,دبئی اسلامی بینک,bank,,,24.7978251,67.0451975,Services
Bundo Khan Resturant,Bundo Khan Resturant,restaurant,,,24.7978618,67.0452078,Food & Dining
Bilal Masjid- Tauheed Commercial,Bilal Masjid- Tauheed Commercial,place_of_worship,,,24.808533,67.0379117,Religious & Community
Al Mehmil Banquet,Al Mehmil Banquet,community_centre,,,24.943358,67.048716,Religious & Community
Umar bin Abdul Aziz Mosque,Umar bin Abdul Aziz Mosque,place_of_worship,,,24.826704200000002,67.0696088,Religious & Community
Baithak -Boat Basin,Baithak -Boat Basin,restaurant,,,24.8265421,67.0259083,Food & Dining
Tandoori Hut Restaurant -Boat Basin,Tandoori Hut Restaurant -Boat Basin,restaurant,,,24.8260581,67.0255502,Food & Dining
Wali Darbar Hotel -Boat Basin,Wali Darbar Hotel -Boat Basin,cafe,,,24.8260299,67.026093,Food & Dining
